"EntraID","DisplayName","UserPrincipalName","JobTitle","Department","City","Country","UsageLocation","ManagerName","ManagerUPN","HasCopilotLicense"
"00e2abf9-60d0-415e-b248-2c16e29f35ae","Samuel Ward","samuel.ward@wvboy.com","Training Coordinator",,,,"US","","","False"
"0cd08071-7303-4e5b-b990-f1853b694f22","Jennifer Taylor","jennifer.taylor@wvboy.com","Training Coordinator",,,,"US","","","False"
"0f36b417-9ef7-4ddd-9285-074a1faf4ba1","Darryl Philbin","darryl@wvboy.com","Warehouse Manager",,,,"US","Meredith Palmer","meredith@wvboy.com","True"
"0fc9d5da-b3c2-4150-b7b8-c7d3e59a39f1","Justin Reed","justin.reed@wvboy.com","Product Manager",,,,"US","","","False"
"160c3981-7185-48cc-83bc-f96dac5c65b9","Kelly Kapoor","kelly@wvboy.com","Marketing and Social Media (WOOF!)",,,,"US","Darryl Philbin","darryl@wvboy.com","True"
"16730f0c-7a71-4024-9d84-166431b9a4e3","Anna Davis","anna.davis@wvboy.com","Research Analyst",,,,"US","","","False"
"25145158-f2ca-425c-b58c-9cfebb066151","Kevin Malone","kevin@wvboy.com","Accountant",,,,"US","Andy Bernard","andy@wvboy.com","True"
"286b646a-cd52-4abb-88fe-c5eb65b1ed8f","Angela Martin","angela@wvboy.com","Head of Accounting",,,,"US","Meredith Palmer","meredith@wvboy.com","False"
"3bcda879-734f-43ab-bb23-5850ac1415a6","Katherine Wilson","katherine.wilson@wvboy.com","Communications Specialist",,,,"US","","","False"
"3fa29357-1f0e-495e-8737-3727edad7e64","Henry Hall","henry.hall@wvboy.com","Communications Specialist",,,,"US","","","False"
"418e4440-f23a-4c27-adc6-5acfcf3ee81d","Andy Bernard","andy@wvboy.com","Assistant to the Assistant Regional Manager",,,,"US","Phyllis Vance","phyllis@wvboy.com","True"
"438e915a-1802-4f7c-b0cf-f813688ea1f8","Stanley Hudson","stanley@wvboy.com","Sales",,,,"US","Toby Flenderson","toby@wvboy.com","True"
"450fbc76-df93-4592-a9a1-052e049421cd","Robert Miller","robert.miller@wvboy.com","Customer Success Manager",,,,"US","","","False"
"46ac43b5-6a43-4b51-9b5b-23db932305f4","Holly Flax","holly@wvboy.com","Human Resources",,,,"US","Phyllis Vance","phyllis@wvboy.com","True"
"4a15307f-5a68-47de-be7b-31dbcfaf52e8","Hannah Turner","hannah.turner@wvboy.com","Customer Success Manager",,,,"US","","","False"
